"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","LANDCOVER","VEGEGAIN1992","PC","A","2019",6.7369030649,
"CZE","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.8735108383,
"CZE","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.3446838915,
"CZE","LANDCOVER","VEGELOSS1992","PC","A","2004",3.267997149,
"CZE","LANDCOVER","VEGELOSS1992","PC","A","2018",4.1388987883,
"CZE","LANDCOVER","VEGELOSS1992","PC","A","2019",4.2656361368,
"CZE","LANDCOVER","VEGELOSS2004","PC","A","2018",0.9665255834,
"CZE","LANDCOVER","VEGELOSS2004","PC","A","2019",1.1294647622,
"DNK","LANDCOVER","VEGEGAIN1992","PC","A","2004",5.829715838,
"DNK","LANDCOVER","VEGEGAIN1992","PC","A","2018",9.0867932568,
"DNK","LANDCOVER","VEGEGAIN1992","PC","A","2019",10.4157234547,
"DNK","LANDCOVER","VEGEGAIN2004","PC","A","2018",3.4563434426,
"DNK","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.7809561912,
"DNK","LANDCOVER","VEGELOSS1992","PC","A","2004",3.7613074472,
"DNK","LANDCOVER","VEGELOSS1992","PC","A","2018",5.6042326915,
"DNK","LANDCOVER","VEGELOSS1992","PC","A","2019",5.5820394684,
"DNK","LANDCOVER","VEGELOSS2004","PC","A","2018",2.0708489524,
"DNK","LANDCOVER","VEGELOSS2004","PC","A","2019",2.0717186916,
"FIN","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.4135039667,
"FIN","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.5280008036,
"FIN","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.5270018007,
"FIN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1515229873,
"FIN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1548114662,
"FIN","LANDCOVER","VEGELOSS1992","PC","A","2004",1.6821544497,
"FIN","LANDCOVER","VEGELOSS1992","PC","A","2018",3.0169333773,
"FIN","LANDCOVER","VEGELOSS1992","PC","A","2019",3.2814471557,
"FIN","LANDCOVER","VEGELOSS2004","PC","A","2018",1.3874851175,
"FIN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.6596980895,
"FRA","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.3893890713,
"FRA","LANDCOVER","VEGEGAIN1992","PC","A","2018",2.4864811786,
"FRA","LANDCOVER","VEGEGAIN1992","PC","A","2019",2.6512615367,
"FRA","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.2223928921,
"FRA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.4027417405,
"FRA","LANDCOVER","VEGELOSS1992","PC","A","2004",1.9830152327,
"FRA","LANDCOVER","VEGELOSS1992","PC","A","2018",2.5007937943,
"FRA","LANDCOVER","VEGELOSS1992","PC","A","2019",2.5191130162,
"FRA","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6396198532,
"FRA","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6726329418,
"DEU","LANDCOVER","VEGEGAIN1992","PC","A","2004",4.1173748974,
"DEU","LANDCOVER","VEGEGAIN1992","PC","A","2018",5.3963324264,
"DEU","LANDCOVER","VEGEGAIN1992","PC","A","2019",5.6293797312,
"DEU","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.3522144702,
"DEU","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.595215531,
"DEU","LANDCOVER","VEGELOSS1992","PC","A","2004",3.267840042,
"DEU","LANDCOVER","VEGELOSS1992","PC","A","2018",3.8899328885,
"DEU","LANDCOVER","VEGELOSS1992","PC","A","2019",3.9142541726,
"DEU","LANDCOVER","VEGELOSS2004","PC","A","2018",0.700883075,
"DEU","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7369163782,
"GRC","LANDCOVER","VEGEGAIN1992","PC","A","2004",4.9363770946,
"GRC","LANDCOVER","VEGEGAIN1992","PC","A","2018",7.3733446236,
"GRC","LANDCOVER","VEGEGAIN1992","PC","A","2019",7.4642427175,
"GRC","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.5022969912,
"GRC","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5931718797,
"GRC","LANDCOVER","VEGELOSS1992","PC","A","2004",1.7414646229,
"GRC","LANDCOVER","VEGELOSS1992","PC","A","2018",2.0865087183,
"GRC","LANDCOVER","VEGELOSS1992","PC","A","2019",2.0959556685,
"GRC","LANDCOVER","VEGELOSS2004","PC","A","2018",0.4751394662,
"GRC","LANDCOVER","VEGELOSS2004","PC","A","2019",0.4870849368,
"HUN","LANDCOVER","VEGEGAIN1992","PC","A","2004",6.7477484103,
"HUN","LANDCOVER","VEGEGAIN1992","PC","A","2018",8.9010504075,
"HUN","LANDCOVER","VEGEGAIN1992","PC","A","2019",9.1618135744,
"HUN","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.2702917119,
"HUN","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5425219848,
"HUN","LANDCOVER","VEGELOSS1992","PC","A","2004",2.2408916763,
"HUN","LANDCOVER","VEGELOSS1992","PC","A","2018",2.9292395745,
"HUN","LANDCOVER","VEGELOSS1992","PC","A","2019",3.0181665006,
"HUN","LANDCOVER","VEGELOSS2004","PC","A","2018",0.8685137379,
"HUN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.9763182055,
"ISL","LANDCOVER","VEGEGAIN1992","PC","A","2004",0,
"ISL","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.0395044687,
"ISL","LANDCOVER","VEGEGAIN1992","PC","A","2019",0,
"ISL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.0618814692,
"ISL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0,
"ISL","LANDCOVER","VEGELOSS1992","PC","A","2004",0.0223631619,
"ISL","LANDCOVER","VEGELOSS1992","PC","A","2018",0,
"ISL","LANDCOVER","VEGELOSS1992","PC","A","2019",0.0223631619,
"ISL","LANDCOVER","VEGELOSS2004","PC","A","2018",0,
"ISL","LANDCOVER","VEGELOSS2004","PC","A","2019",0,
"IRL","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.035482891,
"IRL","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.150273156,
"IRL","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.1736794139,
"IRL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1251674555,
"IRL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1529405555,
"IRL","LANDCOVER","VEGELOSS1992","PC","A","2004",0.9655081399,
"IRL","LANDCOVER","VEGELOSS1992","PC","A","2018",1.151637691,
"IRL","LANDCOVER","VEGELOSS1992","PC","A","2019",1.1759154586,
"IRL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.1971764434,
"IRL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.2258292344,
"ITA","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.6949558518,
"ITA","LANDCOVER","VEGEGAIN1992","PC","A","2018",4.1161665989,
"ITA","LANDCOVER","VEGEGAIN1992","PC","A","2019",4.345042162,
"ITA","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.6439719364,
"ITA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9019478413,
"ITA","LANDCOVER","VEGELOSS1992","PC","A","2004",4.6042994369,
"ITA","LANDCOVER","VEGELOSS1992","PC","A","2018",5.409382134,
"ITA","LANDCOVER","VEGELOSS1992","PC","A","2019",5.4431613707,
"ITA","LANDCOVER","VEGELOSS2004","PC","A","2018",1.0158508975,
"ITA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.0749329083,
"JPN","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.2862928714,
"JPN","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.791986716,
"JPN","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.8369113408,
"JPN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.636807537,
"JPN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.6947855366,
"JPN","LANDCOVER","VEGELOSS1992","PC","A","2004",3.6678067924,
"JPN","LANDCOVER","VEGELOSS1992","PC","A","2018",4.6768898871,
"JPN","LANDCOVER","VEGELOSS1992","PC","A","2019",4.7437829826,
"JPN","LANDCOVER","VEGELOSS2004","PC","A","2018",1.15247754,
"JPN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2329599562,
"KOR","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.6929181774,
"KOR","LANDCOVER","VEGEGAIN1992","PC","A","2018",2.6929141651,
"KOR","LANDCOVER","VEGEGAIN1992","PC","A","2019",2.7869354543,
"KOR","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.4555346776,
"KOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.6404839679,
"KOR","LANDCOVER","VEGELOSS1992","PC","A","2004",11.0843476621,
"KOR","LANDCOVER","VEGELOSS1992","PC","A","2018",16.8009222913,
"KOR","LANDCOVER","VEGELOSS1992","PC","A","2019",17.0704143223,
"KOR","LANDCOVER","VEGELOSS2004","PC","A","2018",6.6609789471,
"KOR","LANDCOVER","VEGELOSS2004","PC","A","2019",7.0395862332,
"LUX","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.2625127681,
"LUX","LANDCOVER","VEGEGAIN1992","PC","A","2018",3.3656792646,
"LUX","LANDCOVER","VEGEGAIN1992","PC","A","2019",3.5035750766,
"LUX","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.1593754831,
"LUX","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.298500541,
"LUX","LANDCOVER","VEGELOSS1992","PC","A","2004",3.1460674157,
"LUX","LANDCOVER","VEGELOSS1992","PC","A","2018",3.6976506639,
"LUX","LANDCOVER","VEGELOSS1992","PC","A","2019",3.7078651685,
"LUX","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6028752512,
"LUX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.613180811,
"MEX","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.2117367194,
"MEX","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.5814148151,
"MEX","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.6087271153,
"MEX","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.4270509391,
"MEX","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4634782137,
"MEX","LANDCOVER","VEGELOSS1992","PC","A","2004",1.4822877761,
"MEX","LANDCOVER","VEGELOSS1992","PC","A","2018",2.1480561456,
"MEX","LANDCOVER","VEGELOSS1992","PC","A","2019",2.2862251118,
"MEX","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7239444613,
"MEX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8715291396,
"NLD","LANDCOVER","VEGEGAIN1992","PC","A","2004",3.3353192053,
"NLD","LANDCOVER","VEGEGAIN1992","PC","A","2018",4.9604244092,
"NLD","LANDCOVER","VEGEGAIN1992","PC","A","2019",5.1703594428,
"NLD","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.7220964985,
"NLD","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9388505352,
"NLD","LANDCOVER","VEGELOSS1992","PC","A","2004",4.299885576,
"NLD","LANDCOVER","VEGELOSS1992","PC","A","2018",4.7750763615,
"NLD","LANDCOVER","VEGELOSS1992","PC","A","2019",4.8781525717,
"NLD","LANDCOVER","VEGELOSS2004","PC","A","2018",0.5609823637,
"NLD","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6698368138,
"NZL","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.0305690755,
"NZL","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.3567082377,
"NZL","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.3645373672,
"NZL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.3533668949,
"NZL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.3625605421,
"NZL","LANDCOVER","VEGELOSS1992","PC","A","2004",0.5788442863,
"NZL","LANDCOVER","VEGELOSS1992","PC","A","2018",0.8457377101,
"NZL","LANDCOVER","VEGELOSS1992","PC","A","2019",0.8997427252,
"NZL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2943875806,
"NZL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3495494636,
"NOR","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.8107846971,
"NOR","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.1801443936,
"NOR","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.2235093545,
"NOR","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.393989039,
"NOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4404952858,
"NOR","LANDCOVER","VEGELOSS1992","PC","A","2004",0.7424927449,
"NOR","LANDCOVER","VEGELOSS1992","PC","A","2018",1.9331567862,
"NOR","LANDCOVER","VEGELOSS1992","PC","A","2019",2.0451281453,
"NOR","LANDCOVER","VEGELOSS2004","PC","A","2018",1.2147328819,
"NOR","LANDCOVER","VEGELOSS2004","PC","A","2019",1.3297987062,
"POL","LANDCOVER","VEGEGAIN1992","PC","A","2004",5.6734062307,
"POL","LANDCOVER","VEGEGAIN1992","PC","A","2018",7.9229076405,
"POL","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.2799614332,
"POL","LANDCOVER","VEGELOSS1992","PC","A","2004",2.4637920363,
"POL","LANDCOVER","VEGELOSS1992","PC","A","2018",3.122618802,
"POL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.738753614,
"PRT","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.817273142,
"PRT","LANDCOVER","VEGEGAIN1992","PC","A","2018",7.7872792878,
"PRT","LANDCOVER","VEGEGAIN1992","PC","A","2019",8.1571595009,
"PRT","LANDCOVER","VEGEGAIN2004","PC","A","2018",5.3077394544,
"PRT","LANDCOVER","VEGEGAIN2004","PC","A","2019",5.7039057863,
"PRT","LANDCOVER","VEGELOSS1992","PC","A","2004",5.3123621433,
"PRT","LANDCOVER","VEGELOSS1992","PC","A","2018",7.5329630761,
"PRT","LANDCOVER","VEGELOSS1992","PC","A","2019",7.8766387277,
"PRT","LANDCOVER","VEGELOSS2004","PC","A","2018",2.487978701,
"PRT","LANDCOVER","VEGELOSS2004","PC","A","2019",2.8572699132,
"SVK","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.8495885391,
"SVK","LANDCOVER","VEGEGAIN1992","PC","A","2018",3.5812106692,
"SVK","LANDCOVER","VEGEGAIN1992","PC","A","2019",3.6810887322,
"SVK","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.855751659,
"SVK","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.963821042,
"SVK","LANDCOVER","VEGELOSS1992","PC","A","2004",1.9243377717,
"SVK","LANDCOVER","VEGELOSS1992","PC","A","2018",2.9001403195,
"SVK","LANDCOVER","VEGELOSS1992","PC","A","2019",3.0196263457,
"SVK","LANDCOVER","VEGELOSS2004","PC","A","2018",1.0976935079,
"SVK","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2251910946,
"ESP","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.4796187981,
"ESP","LANDCOVER","VEGEGAIN1992","PC","A","2018",4.364413768,
"ESP","LANDCOVER","VEGEGAIN1992","PC","A","2019",4.4515638077,
"ESP","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.1284480722,
"ESP","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.2271681408,
"ESP","LANDCOVER","VEGELOSS1992","PC","A","2004",4.7027146878,
"ESP","LANDCOVER","VEGELOSS1992","PC","A","2018",5.413875436,
"ESP","LANDCOVER","VEGELOSS1992","PC","A","2019",5.4441914687,
"ESP","LANDCOVER","VEGELOSS2004","PC","A","2018",0.9281296204,
"ESP","LANDCOVER","VEGELOSS2004","PC","A","2019",0.9687234806,
"SWE","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.3505369821,
"SWE","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.490017666,
"SWE","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.4953791353,
"SWE","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1640855833,
"SWE","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1721993626,
"SWE","LANDCOVER","VEGELOSS1992","PC","A","2004",1.2326842587,
"SWE","LANDCOVER","VEGELOSS1992","PC","A","2018",3.2317905431,
"SWE","LANDCOVER","VEGELOSS1992","PC","A","2019",3.434577806,
"SWE","LANDCOVER","VEGELOSS2004","PC","A","2018",2.0402618213,
"SWE","LANDCOVER","VEGELOSS2004","PC","A","2019",2.2475584806,
"CHE","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.4134266074,
"CHE","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.6886572042,
"CHE","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.7996677786,
"CHE","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.364441009,
"CHE","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4806593143,
"CHE","LANDCOVER","VEGELOSS1992","PC","A","2004",2.175915297,
"CHE","LANDCOVER","VEGELOSS1992","PC","A","2018",2.8365767688,
"CHE","LANDCOVER","VEGELOSS1992","PC","A","2019",2.8808729591,
"CHE","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7528333315,
"CHE","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8018246546,
"TUR","LANDCOVER","VEGEGAIN1992","PC","A","2004",4.3360840936,
"TUR","LANDCOVER","VEGEGAIN1992","PC","A","2018",8.1260752256,
"TUR","LANDCOVER","VEGEGAIN1992","PC","A","2019",8.4308641878,
"TUR","LANDCOVER","VEGEGAIN2004","PC","A","2018",4.0575447807,
"TUR","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.3730730626,
"TUR","LANDCOVER","VEGELOSS1992","PC","A","2004",3.7511664598,
"TUR","LANDCOVER","VEGELOSS1992","PC","A","2018",5.0103952805,
"TUR","LANDCOVER","VEGELOSS1992","PC","A","2019",5.0611934409,
"TUR","LANDCOVER","VEGELOSS2004","PC","A","2018",1.5414992634,
"TUR","LANDCOVER","VEGELOSS2004","PC","A","2019",1.6045137412,
"GBR","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.3442430719,
"GBR","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.4046241151,
"GBR","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.472989685,
"GBR","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.1674084374,
"GBR","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.2505631056,
"GBR","LANDCOVER","VEGELOSS1992","PC","A","2004",3.0733453634,
"GBR","LANDCOVER","VEGELOSS1992","PC","A","2018",3.1979511031,
"GBR","LANDCOVER","VEGELOSS1992","PC","A","2019",3.2460583823,
"GBR","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2053783487,
"GBR","LANDCOVER","VEGELOSS2004","PC","A","2019",0.2677063449,
"USA","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.3607528695,
"USA","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.5710703047,
"USA","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.6038438183,
"USA","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.2368107044,
"USA","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.2747828407,
"USA","LANDCOVER","VEGELOSS1992","PC","A","2004",1.0531372524,
"USA","LANDCOVER","VEGELOSS1992","PC","A","2018",1.8404598877,
"USA","LANDCOVER","VEGELOSS1992","PC","A","2019",2.0366716313,
"USA","LANDCOVER","VEGELOSS2004","PC","A","2018",0.8178388526,
"USA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.0203887296,
"G7M","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.3639430114,
"G7M","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.5888936383,
"G7M","LANDCOVER","VEGEGAIN1992","PC","A","2019",0.6243113524,
"G7M","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.2513734814,
"G7M","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.2913960162,
"G7M","LANDCOVER","VEGELOSS1992","PC","A","2004",0.8385836789,
"G7M","LANDCOVER","VEGELOSS1992","PC","A","2018",1.3645161718,
"G7M","LANDCOVER","VEGELOSS1992","PC","A","2019",1.4881069712,
"G7M","LANDCOVER","VEGELOSS2004","PC","A","2018",0.5537907426,
"G7M","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6824068639,
"AFG","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.8240479019,
"AFG","LANDCOVER","VEGEGAIN1992","PC","A","2018",4.127177509,
"AFG","LANDCOVER","VEGEGAIN1992","PC","A","2019",4.371922113,
"AFG","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.3623783159,
"AFG","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.614083097,
"AFG","LANDCOVER","VEGELOSS1992","PC","A","2004",1.8159722117,
"AFG","LANDCOVER","VEGELOSS1992","PC","A","2018",2.431751147,
"AFG","LANDCOVER","VEGELOSS1992","PC","A","2019",2.5206300933,
"AFG","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6818875065,
"AFG","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7792821924,
"ALB","LANDCOVER","VEGEGAIN1992","PC","A","2004",9.054262548,
"ALB","LANDCOVER","VEGEGAIN1992","PC","A","2018",15.3556773791,
"ALB","LANDCOVER","VEGEGAIN1992","PC","A","2019",16.0988740439,
"ALB","LANDCOVER","VEGEGAIN2004","PC","A","2018",5.9992177856,
"ALB","LANDCOVER","VEGEGAIN2004","PC","A","2019",6.7178772657,
"ALB","LANDCOVER","VEGELOSS1992","PC","A","2004",1.6203262975,
"ALB","LANDCOVER","VEGELOSS1992","PC","A","2018",2.2354988018,
"ALB","LANDCOVER","VEGELOSS1992","PC","A","2019",2.358270689,
"ALB","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7064373801,
"ALB","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8476026351,
"DZA","LANDCOVER","VEGEGAIN1992","PC","A","2004",2.4769690684,
"DZA","LANDCOVER","VEGEGAIN1992","PC","A","2018",9.6519431395,
"DZA","LANDCOVER","VEGEGAIN1992","PC","A","2019",10.065462754,
"DZA","LANDCOVER","VEGEGAIN2004","PC","A","2018",9.0014572704,
"DZA","LANDCOVER","VEGEGAIN2004","PC","A","2019",9.4662706049,
"DZA","LANDCOVER","VEGELOSS1992","PC","A","2004",9.7452870478,
"DZA","LANDCOVER","VEGELOSS1992","PC","A","2018",14.078335672,
"DZA","LANDCOVER","VEGELOSS1992","PC","A","2019",14.0963333537,
"DZA","LANDCOVER","VEGELOSS2004","PC","A","2018",5.936781439,
"DZA","LANDCOVER","VEGELOSS2004","PC","A","2019",5.9750717944,
"AGO","LANDCOVER","VEGEGAIN1992","PC","A","2004",1.2264173336,
"AGO","LANDCOVER","VEGEGAIN1992","PC","A","2018",1.5333251155,
"AGO","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.5551396888,
"AGO","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.3508140891,
"AGO","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.3759374764,
"AGO","LANDCOVER","VEGELOSS1992","PC","A","2004",0.8152648876,
"AGO","LANDCOVER","VEGELOSS1992","PC","A","2018",1.4546780155,
"AGO","LANDCOVER","VEGELOSS1992","PC","A","2019",1.5724092783,
"AGO","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6819579292,
"AGO","LANDCOVER","VEGELOSS2004","PC","A","2019",0.802605257,
"ARG","LANDCOVER","VEGEGAIN1992","PC","A","2004",0.2991894085,
"ARG","LANDCOVER","VEGEGAIN1992","PC","A","2018",0.9000772812,
"ARG","LANDCOVER","VEGEGAIN1992","PC","A","2019",1.0872923335,
"ARG","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.6865955821,
"ARG","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.8962183047,
"ARG","LANDCOVER","VEGELOSS1992","PC","A","2004",2.3847916529,
"ARG","LANDCOVER","VEGELOSS1992","PC","A","2018",3.1595787714,
"ARG","LANDCOVER","VEGELOSS1992","PC","A","2019",3.1887813923,
